                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.14689,                0.11973,                0.76867,                0.99992,                      1,                  0.995,                  0.995,                0.12786,                0.20043,                0.62598,              0.0090892,              0.0090892,              0.0090892
                     95,                0.15303,                0.12051,                0.77447,                0.98468,                0.98476,                0.97907,                0.97867,                0.20637,                0.25959,                0.63051,              0.0090793,              0.0090793,              0.0090793
                     96,                0.15072,                0.12029,                0.77001,                      1,                      1,                  0.995,                0.99499,                0.15502,                0.21481,                0.62772,              0.0090694,              0.0090694,              0.0090694
                     97,                0.15788,                0.12305,                0.76824,                      1,                      1,                  0.995,                  0.995,                0.13315,                0.19299,                 0.6268,              0.0090595,              0.0090595,              0.0090595
                     98,                0.15171,                0.12163,                0.77049,                0.99687,                0.99695,                0.99369,                0.99369,                0.12769,                0.20443,                0.62587,              0.0090496,              0.0090496,              0.0090496
                     99,                0.14721,                0.11976,                0.76397,                0.99687,                0.99695,                0.99244,                0.99244,                0.13053,                0.19911,                0.62577,              0.0090397,              0.0090397,              0.0090397
                    100,                0.15063,                0.12639,                0.77036,                0.99839,                0.99848,                0.99492,                0.99492,                0.12904,                0.20206,                0.62614,              0.0090298,              0.0090298,              0.0090298
                    101,                0.15196,                0.12127,                0.76949,                0.99756,                0.99848,                0.99363,                0.99363,                0.12652,                0.21029,                0.62549,              0.0090199,              0.0090199,              0.0090199
                    102,                0.15057,                   0.12,                0.76734,                0.99229,                0.99238,                0.99199,                0.99195,                0.13787,                0.20736,                0.62694,                0.00901,                0.00901,                0.00901
                    103,                0.14674,                 0.1143,                0.76823,                0.99687,                0.99695,                0.99408,                0.99408,                0.15662,                0.21562,                0.62767,              0.0090001,              0.0090001,              0.0090001
                    104,                0.15702,                 0.1261,                0.77669,                0.99838,                0.99848,                0.99495,                0.99468,                0.16636,                0.23006,                 0.6291,              0.0089902,              0.0089902,              0.0089902
                    105,                0.15189,                0.11964,                0.77174,                0.99343,                 0.9939,                0.99416,                0.99361,                0.13643,                0.20136,                0.62678,              0.0089803,              0.0089803,              0.0089803
